hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
20160	5	8	4	50	30	370	118.73	0.3209	-0.3590	0.6799	4	5
20160	5	8	5	54	33	405	206.38	0.5096	-0.2100	0.7195	5	5
20160	5	8	6	53	33	427	159.78	0.3742	-0.2126	0.5868	4	5
20160	5	8	7	53	33	427	158.60	0.3714	-0.2160	0.5874	4	5
20160	5	8	8	53	32	433	187.31	0.4326	-0.1892	0.6218	4	5
20160	5	8.5	3	51	26	330	-2.40	-0.0073	-0.3864	0.3792	2	5
20160	5	8.5	4	51	31	321	30.30	0.0944	-0.2524	0.3468	3	5
20160	5	8.5	5	54	32	405	211.89	0.5232	-0.1767	0.6999	5	5
20160	5	8.5	6	54	32	424	169.98	0.4009	-0.1653	0.5662	4	5
20160	5	8.5	7	53	31	423	164.11	0.3880	-0.1807	0.5686	4	5
20160	5	8.5	8	53	32	415	188.25	0.4536	-0.1752	0.6288	5	5
20160	5	9	3	50	29	328	-11.77	-0.0359	-0.4511	0.4152	3	5
20160	5	9	4	53	32	334	22.81	0.0683	-0.2943	0.3626	3	5
20160	5	9	5	53	30	404	188.60	0.4668	-0.2669	0.7337	5	5
20160	5	9	6	53	29	406	115.72	0.2850	-0.2615	0.5465	4	5
20160	5	9	7	52	29	412	174.42	0.4233	-0.2588	0.6821	4	5
20160	5	9	8	52	33	403	222.31	0.5516	-0.2526	0.8043	5	5
20160	5	9.5	3	53	28	383	-53.20	-0.1389	-0.3855	0.2466	2	5
20160	5	9.5	4	54	33	355	102.67	0.2892	-0.2985	0.5877	3	5
20160	5	9.5	5	53	30	404	227.73	0.5637	-0.2257	0.7894	5	5
20160	5	9.5	6	52	29	402	199.83	0.4971	-0.2359	0.7329	5	5
20160	5	9.5	7	52	31	409	247.75	0.6058	-0.2362	0.8419	5	5
20160	5	9.5	8	52	32	415	244.71	0.5897	-0.2230	0.8127	5	5
20160	5	10	3	53	28	418	-79.00	-0.1890	-0.4151	0.2261	2	5
20160	5	10	4	54	31	364	130.19	0.3577	-0.2598	0.6175	4	5
20160	5	10	5	52	30	398	223.89	0.5625	-0.2019	0.7645	5	5
20160	5	10	6	52	30	414	264.52	0.6389	-0.1936	0.8325	5	5
20160	5	10	7	52	31	415	241.59	0.5821	-0.2002	0.7824	5	5
20160	5	10	8	52	31	414	248.31	0.5998	-0.1852	0.7850	5	5
20160	6	8	3	51	26	359	-19.29	-0.0537	-0.3733	0.3196	4	5
20160	6	8	4	51	29	396	179.08	0.4522	-0.3235	0.7757	5	5
20160	6	8	5	52	30	450	63.87	0.1419	-0.2299	0.3719	3	5
20160	6	8	6	52	30	418	101.13	0.2419	-0.2662	0.5082	4	5
20160	6	8	7	52	29	391	18.38	0.0470	-0.2451	0.2922	3	5
20160	6	8	8	52	29	407	20.05	0.0493	-0.2583	0.3076	4	5
20160	6	8.5	3	51	28	353	-17.14	-0.0485	-0.4458	0.3972	3	5
20160	6	8.5	4	52	31	395	130.37	0.3301	-0.2081	0.5381	4	5
20160	6	8.5	5	52	30	437	227.83	0.5213	-0.2888	0.8102	4	5
20160	6	8.5	6	53	34	422	236.90	0.5614	-0.2762	0.8376	4	5
20160	6	8.5	7	53	32	401	138.95	0.3465	-0.2401	0.5866	4	5
20160	6	8.5	8	53	32	402	119.30	0.2968	-0.2669	0.5636	4	5
20160	6	9	3	50	30	360	-95.81	-0.2661	-0.3954	0.1293	3	5
20160	6	9	4	51	27	378	83.52	0.2210	-0.2109	0.4318	4	5
20160	6	9	5	51	31	424	254.92	0.6012	-0.2904	0.8917	5	5
20160	6	9	6	51	31	395	183.93	0.4656	-0.2954	0.7610	4	5
20160	6	9	7	51	29	379	129.23	0.3410	-0.2445	0.5855	4	5
20160	6	9	8	51	30	385	141.87	0.3685	-0.2566	0.6251	4	5
20160	6	9.5	3	52	30	389	-23.75	-0.0611	-0.3019	0.2409	3	5
20160	6	9.5	4	52	30	388	168.98	0.4355	-0.2524	0.6879	4	5
20160	6	9.5	5	53	30	416	223.78	0.5379	-0.2020	0.7399	5	5
20160	6	9.5	6	52	29	394	175.50	0.4454	-0.2359	0.6814	4	5
20160	6	9.5	7	52	28	377	141.31	0.3748	-0.2392	0.6140	3	5
20160	6	9.5	8	52	29	388	162.36	0.4185	-0.2888	0.7072	3	5
20160	6	10	3	52	25	391	-109.95	-0.2812	-0.3218	0.0406	3	5
20160	6	10	4	52	30	405	167.65	0.4139	-0.2288	0.6427	4	5
20160	6	10	5	53	29	428	213.94	0.4999	-0.1394	0.6393	5	5
20160	6	10	6	52	29	380	182.27	0.4797	-0.2059	0.6855	3	5
20160	6	10	7	52	30	379	143.60	0.3789	-0.2139	0.5928	3	5
20160	6	10	8	52	30	385	150.63	0.3913	-0.2357	0.6270	3	5
20160	7	8	3	52	24	357	2.55	0.0071	-0.4052	0.4124	4	5
