hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
18720	5	10	4	54	30	364	154.25	0.4238	-0.0964	0.5202	3	5
18720	5	10	5	52	30	435	259.08	0.5956	-0.0370	0.6326	4	5
18720	5	10	6	52	28	388	144.16	0.3715	-0.0081	0.3797	4	5
18720	5	10	7	52	29	389	161.03	0.4140	-0.0211	0.4351	4	5
18720	5	10	8	52	29	388	171.42	0.4418	-0.0199	0.4617	4	5
18720	6	8	3	52	27	394	67.54	0.1714	-0.2171	0.3885	3	5
18720	6	8	4	54	34	405	118.19	0.2918	0.0058	0.2861	3	5
18720	6	8	5	52	35	425	199.33	0.4690	0.0043	0.4647	3	5
18720	6	8	6	54	35	393	32.89	0.0837	0.0267	0.0569	3	5
18720	6	8	7	55	36	380	48.46	0.1275	0.0402	0.0873	3	5
18720	6	8	8	55	36	390	49.79	0.1277	0.0208	0.1069	3	5
18720	6	8.5	3	51	29	380	45.83	0.1206	-0.1751	0.2957	3	5
18720	6	8.5	4	52	33	386	171.51	0.4443	0.0044	0.4399	4	5
18720	6	8.5	5	50	33	416	255.15	0.6133	0.0008	0.6125	5	5
18720	6	8.5	6	50	33	384	172.19	0.4484	0.0467	0.4017	4	5
18720	6	8.5	7	50	31	375	65.37	0.1743	0.0517	0.1226	4	5
18720	6	8.5	8	50	32	366	94.50	0.2582	0.0464	0.2118	4	5
18720	6	9	3	51	30	400	-13.56	-0.0339	-0.1961	0.1622	3	5
18720	6	9	4	52	36	410	269.85	0.6582	-0.0061	0.6643	4	5
18720	6	9	5	52	32	449	299.44	0.6669	-0.0429	0.7098	5	5
18720	6	9	6	50	30	393	344.59	0.8768	0.1655	0.7114	4	5
18720	6	9	7	51	31	422	312.99	0.7417	0.0832	0.6585	4	5
18720	6	9	8	51	30	396	257.19	0.6495	0.0782	0.5713	4	5
18720	6	9.5	3	52	29	402	-40.04	-0.0996	-0.1864	0.0868	4	5
18720	6	9.5	4	53	35	394	187.92	0.4769	0.0287	0.4483	4	5
18720	6	9.5	5	54	33	413	345.34	0.8362	0.0676	0.7685	5	5
18720	6	9.5	6	52	31	405	313.64	0.7744	0.0718	0.7026	4	5
18720	6	9.5	7	52	33	429	359.10	0.8371	0.0253	0.8118	4	5
18720	6	9.5	8	52	32	389	250.58	0.6442	0.0441	0.6000	4	5
18720	6	10	3	51	32	395	87.48	0.2215	-0.1004	0.3218	4	5
18720	6	10	4	52	32	411	158.20	0.3849	0.0288	0.3561	4	5
18720	6	10	5	54	31	428	279.22	0.6524	0.1086	0.5437	4	5
18720	6	10	6	52	33	362	223.71	0.6180	0.1247	0.4932	2	5
18720	6	10	7	52	34	377	271.18	0.7193	0.0955	0.6238	3	5
18720	6	10	8	51	32	359	194.60	0.5420	0.0996	0.4425	3	5
18720	7	8	3	52	26	355	54.21	0.1527	-0.1874	0.3401	4	5
18720	7	8	4	51	32	365	211.97	0.5807	0.0357	0.5451	4	5
18720	7	8	5	53	32	466	200.70	0.4307	0.1593	0.2714	4	5
18720	7	8	6	53	29	415	197.04	0.4748	0.2154	0.2594	3	5
18720	7	8	7	54	27	429	-9.86	-0.0230	0.1599	-0.1829	1	5
18720	7	8	8	55	30	428	58.15	0.1359	0.1545	-0.0186	2	5
18720	7	8.5	3	51	26	367	26.25	0.0715	-0.2336	0.3051	3	5
18720	7	8.5	4	48	28	318	180.22	0.5667	0.1244	0.4423	4	5
18720	7	8.5	5	52	28	411	117.54	0.2860	0.0612	0.2247	3	5
18720	7	8.5	6	49	24	393	61.84	0.1573	0.1364	0.0210	3	5
18720	7	8.5	7	51	22	400	-98.34	-0.2458	0.0343	-0.2801	2	5
18720	7	8.5	8	51	25	391	32.00	0.0818	0.0823	-0.0005	3	5
18720	7	9	3	50	28	356	39.26	0.1103	-0.2428	0.3531	3	5
18720	7	9	4	49	26	355	144.63	0.4074	0.0890	0.3184	4	5
